Time,Dominant Emotion,All Emotions
18:18:46,neutral,"{'angry': np.float32(0.032164548), 'disgust': np.float32(6.040728e-10), 'fear': np.float32(0.0028937517), 'happy': np.float32(0.0018271108), 'sad': np.float32(0.13814609), 'surprise': np.float32(9.533007e-05), 'neutral': np.float32(99.824875)}"
18:18:46,neutral,"{'angry': np.float32(0.008611454), 'disgust': np.float32(2.2344375e-10), 'fear': np.float32(0.0004996808), 'happy': np.float32(0.003190638), 'sad': np.float32(0.028521227), 'surprise': np.float32(0.00012858874), 'neutral': np.float32(99.959045)}"
18:18:46,neutral,"{'angry': np.float32(0.008611454), 'disgust': np.float32(2.2344375e-10), 'fear': np.float32(0.0004996808), 'happy': np.float32(0.003190638), 'sad': np.float32(0.028521227), 'surprise': np.float32(0.00012858874), 'neutral': np.float32(99.959045)}"
18:18:46,neutral,"{'angry': np.float32(0.001614539), 'disgust': np.float32(2.2657912e-11), 'fear': np.float32(5.8411595e-05), 'happy': np.float32(0.012746082), 'sad': np.float32(0.009680843), 'surprise': np.float32(8.600446e-05), 'neutral': np.float32(99.975815)}"
18:18:46,neutral,"{'angry': np.float32(1.1712189), 'disgust': np.float32(2.392799e-12), 'fear': np.float32(0.00026807032), 'happy': np.float32(0.00019156148), 'sad': np.float32(0.08171458), 'surprise': np.float32(4.1372937e-06), 'neutral': np.float32(98.746605)}"
18:18:46,neutral,"{'angry': np.float32(1.1712189), 'disgust': np.float32(2.392799e-12), 'fear': np.float32(0.00026807032), 'happy': np.float32(0.00019156148), 'sad': np.float32(0.08171458), 'surprise': np.float32(4.1372937e-06), 'neutral': np.float32(98.746605)}"
18:18:46,neutral,"{'angry': np.float32(1.1017754), 'disgust': np.float32(1.4592152e-12), 'fear': np.float32(0.0003125776), 'happy': np.float32(0.00012883038), 'sad': np.float32(0.0723299), 'surprise': np.float32(4.3521904e-06), 'neutral': np.float32(98.82545)}"
18:18:46,neutral,"{'angry': np.float32(0.0087932), 'disgust': np.float32(9.940944e-09), 'fear': np.float32(0.0031301014), 'happy': np.float32(3.1451483), 'sad': np.float32(0.060265798), 'surprise': np.float32(0.00726227), 'neutral': np.float32(96.7754)}"
18:18:47,neutral,"{'angry': np.float32(0.0087932), 'disgust': np.float32(9.940944e-09), 'fear': np.float32(0.0031301014), 'happy': np.float32(3.1451483), 'sad': np.float32(0.060265798), 'surprise': np.float32(0.00726227), 'neutral': np.float32(96.7754)}"
18:18:47,neutral,"{'angry': np.float32(0.013004977), 'disgust': np.float32(3.0733738e-10), 'fear': np.float32(0.00043446434), 'happy': np.float32(1.0586977), 'sad': np.float32(0.032443266), 'surprise': np.float32(0.0002669527), 'neutral': np.float32(98.89515)}"
18:18:47,neutral,"{'angry': np.float32(0.045117483), 'disgust': np.float32(1.2919887e-07), 'fear': np.float32(0.009904135), 'happy': np.float32(7.4695067), 'sad': np.float32(0.19114514), 'surprise': np.float32(0.0024798408), 'neutral': np.float32(92.281845)}"
18:18:47,neutral,"{'angry': np.float32(0.045117483), 'disgust': np.float32(1.2919887e-07), 'fear': np.float32(0.009904135), 'happy': np.float32(7.4695067), 'sad': np.float32(0.19114514), 'surprise': np.float32(0.0024798408), 'neutral': np.float32(92.281845)}"
18:18:47,neutral,"{'angry': np.float32(0.7359661), 'disgust': np.float32(5.427404e-14), 'fear': np.float32(0.00023971387), 'happy': np.float32(3.6350202e-06), 'sad': np.float32(0.04901654), 'surprise': np.float32(3.3257018e-06), 'neutral': np.float32(99.214775)}"
18:18:47,neutral,"{'angry': np.float32(0.7359661), 'disgust': np.float32(5.427404e-14), 'fear': np.float32(0.00023971387), 'happy': np.float32(3.6350202e-06), 'sad': np.float32(0.04901654), 'surprise': np.float32(3.3257018e-06), 'neutral': np.float32(99.214775)}"
18:18:47,neutral,"{'angry': np.float32(0.070012264), 'disgust': np.float32(4.2705105e-06), 'fear': np.float32(0.020875208), 'happy': np.float32(13.432363), 'sad': np.float32(0.8216528), 'surprise': np.float32(0.029392304), 'neutral': np.float32(85.6257)}"
18:18:47,neutral,"{'angry': np.float32(0.010702569), 'disgust': np.float32(1.3765617e-15), 'fear': np.float32(1.8530929e-05), 'happy': np.float32(7.593283e-05), 'sad': np.float32(0.011886239), 'surprise': np.float32(1.0049868e-06), 'neutral': np.float32(99.97732)}"
18:18:47,neutral,"{'angry': np.float32(0.010702569), 'disgust': np.float32(1.3765617e-15), 'fear': np.float32(1.8530929e-05), 'happy': np.float32(7.593283e-05), 'sad': np.float32(0.011886239), 'surprise': np.float32(1.0049868e-06), 'neutral': np.float32(99.97732)}"
18:18:47,neutral,"{'angry': np.float32(0.003798591), 'disgust': np.float32(9.706168e-18), 'fear': np.float32(1.4241326e-06), 'happy': np.float32(4.473064e-05), 'sad': np.float32(0.003229592), 'surprise': np.float32(1.2284093e-07), 'neutral': np.float32(99.99293)}"
18:18:47,neutral,"{'angry': np.float32(0.0014878332), 'disgust': np.float32(7.630878e-18), 'fear': np.float32(2.5240352e-06), 'happy': np.float32(0.000107254105), 'sad': np.float32(0.0028185474), 'surprise': np.float32(1.8040386e-07), 'neutral': np.float32(99.99559)}"
18:18:47,neutral,"{'angry': np.float32(0.0014878332), 'disgust': np.float32(7.630878e-18), 'fear': np.float32(2.5240352e-06), 'happy': np.float32(0.000107254105), 'sad': np.float32(0.0028185474), 'surprise': np.float32(1.8040386e-07), 'neutral': np.float32(99.99559)}"
18:18:47,neutral,"{'angry': np.float32(0.012828565), 'disgust': np.float32(2.1396171e-17), 'fear': np.float32(1.1864619e-06), 'happy': np.float32(5.566175e-06), 'sad': np.float32(0.0049846764), 'surprise': np.float32(1.390059e-07), 'neutral': np.float32(99.982185)}"
18:18:47,neutral,"{'angry': np.float32(0.010681048), 'disgust': np.float32(1.9834707e-17), 'fear': np.float32(1.1674975e-06), 'happy': np.float32(1.4965855e-06), 'sad': np.float32(0.0059562144), 'surprise': np.float32(3.909596e-08), 'neutral': np.float32(99.98336)}"
18:18:47,neutral,"{'angry': np.float32(0.010681048), 'disgust': np.float32(1.9834707e-17), 'fear': np.float32(1.1674975e-06), 'happy': np.float32(1.4965855e-06), 'sad': np.float32(0.0059562144), 'surprise': np.float32(3.909596e-08), 'neutral': np.float32(99.98336)}"
18:18:47,neutral,"{'angry': np.float32(0.101577535), 'disgust': np.float32(2.772189e-15), 'fear': np.float32(3.3236058e-05), 'happy': np.float32(2.6574293e-07), 'sad': np.float32(0.026850399), 'surprise': np.float32(3.3671827e-07), 'neutral': np.float32(99.87154)}"
18:18:48,neutral,"{'angry': np.float32(0.06931652), 'disgust': np.float32(1.8474117e-14), 'fear': np.float32(9.9726676e-05), 'happy': np.float32(5.724675e-07), 'sad': np.float32(0.03492496), 'surprise': np.float32(7.869215e-07), 'neutral': np.float32(99.89565)}"
18:18:48,neutral,"{'angry': np.float32(0.06931652), 'disgust': np.float32(1.8474117e-14), 'fear': np.float32(9.9726676e-05), 'happy': np.float32(5.724675e-07), 'sad': np.float32(0.03492496), 'surprise': np.float32(7.869215e-07), 'neutral': np.float32(99.89565)}"
18:18:48,neutral,"{'angry': np.float32(0.035741854), 'disgust': np.float32(1.8317936e-13), 'fear': np.float32(0.0008829335), 'happy': np.float32(5.7997784e-07), 'sad': np.float32(0.07638567), 'surprise': np.float32(2.235303e-06), 'neutral': np.float32(99.88699)}"
